stop_id,stop_name,routes
bus-kantor-pos-demak-ijo-n-94aec63b,Kantor Pos Demak Ijo (U),13
bus-kantor-pos-demak-ijo-2-8eeba9b2,Kantor Pos Demak Ijo 2,13|8
bus-kantor-urusan-agama-depok-6e09f175,Kantor Urusan Agama Depok,14
bus-kantor-urusan-agama-depok-halte-2-d63f74be,Kantor Urusan Agama Depok (Halte 2),14
bus-kantor-wilayah-djpb-f617b1d2,Kantor Wilayah DJPb,1A|1B|3A|5B
bus-kledokan-6604b0d7,Kledokan,1B
bus-koramil-godean-ddb7c21d,Koramil Godean,13
bus-koramil-godean-s-aac3dfdd,Koramil Godean (S),13
bus-koramil-godean-n-20a03d03,Koramil Godean (U),13
bus-koramil-godean-2-02c30cae,Koramil Godean 2,13
bus-lap-klidon-s-f6751617,Lap. Klidon (S),14
bus-lap-klidon-n-1a4bde03,Lap. Klidon (U),14
bus-lapangan-klidon-8f908bd2,Lapangan Klidon,14
bus-lapangan-klidon-2-f0819a6d,Lapangan Klidon 2,14
bus-letjen-suprapto-73f7595c,Letjen Suprapto,1B
bus-man-2-sleman-190352c8,MAN 2 Sleman,14
bus-man-2-sleman-w-1f50db53,MAN 2 Sleman (B),14
bus-man-2-sleman-halte-2-16734ec3,MAN 2 Sleman (Halte 2),14
bus-man-2-sleman-e-5a810501,MAN 2 Sleman (T),14
bus-mm-ugm-6d86cbe8,MM UGM,12|3B|4A
bus-mm-ugm-n-b464f66e,MM UGM (U),12
bus-makam-gajah-s-7e2af406,Makam Gajah (Selatan),1B|2A
bus-makam-gajah-n-5baf9986,Makam Gajah (Utara),1B|2B
bus-makam-prajurit-e-331fb8be,Makam Prajurit (Timur),4A
bus-mako-lanal-yogyakarta-8cfe6215,Mako Lanal Yogyakarta,10
bus-muallimin-s-2f1d1246,Muallimin (Selatan),10|6
bus-muallimin-n-49002d1a,Muallimin (Utara),10|6
bus-museum-biologi-1a19a994,Museum Biologi,1B|4A
bus-neutron-godean-s-9bdb8999,Neutron Godean (S),13
bus-neutron-godean-n-9dbb4be6,Neutron Godean (U),13
bus-neutron-yogyakarta-godean-845b1965,Neutron Yogyakarta Godean,13
bus-neutron-yogyakarta-godean-halte-2-b83475d4,Neutron Yogyakarta Godean (Halte 2),13
bus-nogotirto-metro-s-e4ea92a9,Nogotirto Metro (S),13
bus-nogotirto-metro-n-4198d454,Nogotirto Metro (U),13
bus-nyutran-tamansiswa-080d9b74,Nyutran Tamansiswa,4A
bus-olive-glagahsari-w-48c71355,Olive Glagahsari (Barat),4B
bus-pln-gardu-induk-kentungan-ccdb7caf,PLN Gardu Induk Kentungan,12
bus-pakualaman-afc81afa,Pakualaman,1B|4B
bus-palem-gurih-2929ac62,Palem Gurih,10
bus-pandeyan-w-cd4dd021,Pandeyan (Barat),4B
bus-park-and-ride-dongkelan-pasty-7561163e,Park and Ride Dongkelan (Pasty),15
bus-pasar-angkasa-e-020347ed,Pasar Angkasa (Timur),1B|3B
bus-pasar-gamping-s-09bd18f9,Pasar Gamping (Selatan),10|6
bus-pasar-gamping-n-afa34dac,Pasar Gamping (Utara),10|6
bus-pasar-kolombo-69cbcaf2,Pasar Kolombo,12
bus-pasar-kolombo-w-8477d636,Pasar Kolombo (B),12
bus-pasar-kolombo-e-853be528,Pasar Kolombo (Timur),12
bus-pasar-sentul-s-84478365,Pasar Sentul (Selatan),1B|4A
bus-pasar-stan-3701dec0,Pasar Stan,14
bus-pasar-tlogorejo-a9a5b6ae,Pasar Tlogorejo,13|8
bus-pasar-tlogorejo-s-60c6acc1,Pasar Tlogorejo (S),13
bus-pasar-tlogorejo-n-f99b5a4c,Pasar Tlogorejo (U),13
bus-pasar-tlogorejo-2-43254f03,Pasar Tlogorejo 2,13|8
bus-polsek-godean-s-0104f8d4,Polsek Godean (S),13
bus-polsek-godean-n-3c7bcc85,Polsek Godean (U),13
bus-bsi-98bb411e,Portabel BSI,6
bus-dentes-ruko-godean-2ce70ad6,Portabel Dentes (Ruko Godean),13|8
bus-jalan-mayjen-sutoyo-jokteng-wetan-fb44ee8b,Portabel Jl. Mayjen Sutoyo (Jokteng Wetan),3B|9
