stop_name,candidate_activity_id,candidate_name,longitude,latitude,routes,score
UIN Sunan Kalijaga (Barat),6a92d63852d86e03b51dd95f,Halte UIN Sunan Kalijaga A,110.39484944411095,-7.786173028766598,4A,0.868421
UIN Sunan Kalijaga (Timur),6a92d63852d86e03b51dd95f,Halte UIN Sunan Kalijaga A,110.39484944411095,-7.786173028766598,4B,0.868421
TPB UMY 2,6a8aa54452d86e03b5194550,Halte UMY A,110.32444409436187,-7.810657652078407,6,0.613333
TPB UMY 1,6a8aa54452d86e03b5194550,Halte UMY A,110.32444409436187,-7.810657652078407,6,0.613333
UNY Colombo (U),6a92db7152d86e03b51ddde5,Halte UNY Colombo,110.38656560827559,-7.777823342371818,12,1.000000
UTY Glagahsari (Timur),6a92ccbc52d86e03b51dc541,Halte UTY Glagahsari A,110.38845509999442,-7.8055499000184625,4A,0.826667
UTY Glagahsari (Barat),6a92ccbc52d86e03b51dc541,Halte UTY Glagahsari A,110.38845509999442,-7.8055499000184625,4B,0.826667
Portabel UTY Ringroad Utara 2,6a88121d3be6880665733ccf,Halte UTY Ring Road Utara A,110.35658642659928,-7.747408105067673,8,0.670383
Portabel UTY Ringroad Utara 1,6a88121d3be6880665733ccf,Halte UTY Ring Road Utara A,110.35658642659928,-7.747408105067673,8,0.670383
Vokasi UGM (B),6a8cfb1f52d86e03b51a5dd9,Halte Vokasi UGM,110.3749454685335,-7.774505145151281,12,1.000000
Vokasi UGM (T),6a8cfb1f52d86e03b51a5dd9,Halte Vokasi UGM,110.3749454685335,-7.774505145151281,12,1.000000
Portabel Westlake 2,6a88161e3be68806657340a3,Halte Westlake A,110.34117041124347,-7.749276526847169,8,0.673333
Portabel Westlake 1,6a88161e3be68806657340a3,Halte Westlake A,110.34117041124347,-7.749276526847169,8,0.673333
TPB Widya Wiwaha 1,6a892c78478dc3b356b73285,Halte Widya Wiwaha A,110.3776611400803,-7.82283338362798,3A,0.757143
TPB Widya Wiwaha 2,6a892c78478dc3b356b73285,Halte Widya Wiwaha A,110.3776611400803,-7.82283338362798,3B,0.757143
Portabel Pasar Pathuk Yogyakarta,6a8a8a110d6732db988bfe24,TPB Trans Jogja - Pasar Pathuk,110.36181950219066,-7.7960169118630205,EV3,0.678095
KKP Yogyakarta (B),6a8a8dda52d86e03b519227c,TPB Trans Jogja - Stasiun Yogyakarta,110.36179815416784,-7.789620476123076,14,0.700000
